2018-11-05 20:10:16.7897 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully added
2018-11-05 21:08:57.1660 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:14:15.8686 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:19:52.3564 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:31:51.0523 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:37:00.3917 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:38:57.1213 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:40:33.0588 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:40:45.3263 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:43:49.5088 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:55:06.6950 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 22:58:59.1443 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 23:30:58.6878 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 23:42:08.4119 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-05 23:44:10.2800 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
