2018-11-06 22:47:50.3938 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 22:50:52.3893 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 22:51:54.1424 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:27:57.4710 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:00.7935 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:01.6704 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:02.6692 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:02.8562 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:03.2134 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:03.4639 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:04.0893 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:04.6434 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:05.0170 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:05.3283 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:05.6423 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:05.9330 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:28:06.1140 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:55:13.1452 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
2018-11-06 23:56:31.0238 | DEBUG | New_year_gifts.NewYearsGift | NewYearsGift: Items from xml succsessfully were added
